Ticker,city,state,country,latitude,longitude
AMD,Santa Clara,CA,US,37.2333253,-121.6846349
AMD,San Jose,CA,US,37.3361905,-121.890583
AMD,San Francisco,CA,US,37.7790262,-122.419906
AMD,Tempe,AZ,US,33.4255056,-111.9400091
AMD,Seattle,WA,US,47.6038321,-122.3300624
AMD,Thousand Oaks,CA,US,34.1705609,-118.8375937
AMD,Columbus,OH,US,39.9622601,-83.0007065
AMD,Norwood,MA,US,42.194543,-71.1994976
AMD,Canonsburg,PA,US,40.2625702,-80.1872797
AMD,Capertino,CA,US,36.167269,-115.245979
AMD,Santa Clara,CA,US,37.2333253,-121.6846349
AMD,Veldhoven,NL,Netherlands,51.40770635,5.392731058
AMD,Sydney,AUS,Australia,-33.91840985,150.9983167
AMD,San Rafael,CA,US,37.9735346,-122.5310874
AMD,San Monica,CA,US,34.084745,-118.3845421
AMD,Roseland,NJ,US,40.8206555,-74.2937595
AMD,Cambridge,UK,UK,52.2055314,0.1186637
AMD,San Jose,CA,US,37.3361905,-121.890583
AMD,Beijing,CN,CH,39.906217,116.3912757
AMD,Cambridge,MA,US,42.3750997,-71.1056157
AMD,Novato,CA,US,38.1061979,-122.5681191
AMD,Norwalk,CT,US,41.1175966,-73.4078968
AMD,San Jose,CA,US,37.3361905,-121.890583
AMD,Stamford,CT,US,41.0534302,-73.5387341
AMD,Dallas,TX,US,32.7762719,-96.7968559
AMD,Austin,TX,US,30.2711286,-97.7436995
AMD,Cincinnati,OH,US,39.1014537,-84.5124602
AMD,San Jose,CA,US,37.3361905,-121.890583
AMD,Tupelo,MS,US,34.2576067,-88.7033859
AMD,Issaquah,WA,US,47.5348778,-122.0432974
AMD,Jacksonville,FL,US,30.3321838,-81.655651
AMD,Teaneck,NJ,US,40.8860164,-74.0072568
AMD,New York,NY,US,40.7127281,-74.0060152
AMD,San Francisco,CA,US,37.7790262,-122.419906
AMD,San Diego,CA,US,32.7174202,-117.1627728
AMD,Chesapeake,VA,US,36.7183708,-76.2466798
AMD,Redwood City,CA,US,37.4863239,-122.232523
AMD,San Jose,CA,US,37.3361905,-121.890583
